homes,away,score,year
Qatar , Ecuador,0–2,2022
Senegal , Netherlands,0–2,2022
Qatar , Senegal,1–3,2022
Netherlands , Ecuador,1–1,2022
Ecuador , Senegal,1–2,2022
Netherlands , Qatar,2–0,2022
England , Iran,6–2,2022
United States , Wales,1–1,2022
Wales , Iran,0–2,2022
England , United States,0–0,2022
Wales , England,0–3,2022
Iran , United States,0–1,2022
Argentina , Saudi Arabia,1–2,2022
Mexico , Poland,0–0,2022
Poland , Saudi Arabia,2–0,2022
Argentina , Mexico,2–0,2022
Poland , Argentina,0–2,2022
Saudi Arabia , Mexico,1–2,2022
Denmark , Tunisia,0–0,2022
France , Australia,4–1,2022
Tunisia , Australia,0–1,2022
France , Denmark,2–1,2022
Australia , Denmark,1–0,2022
Tunisia , France,1–0,2022
Germany , Japan,1–2,2022
Spain , Costa Rica,7–0,2022
Japan , Costa Rica,0–1,2022
Spain , Germany,1–1,2022
Japan , Spain,2–1,2022
Costa Rica , Germany,2–4,2022
Morocco , Croatia,0–0,2022
Belgium , Canada,1–0,2022
Belgium , Morocco,0–2,2022
Croatia , Canada,4–1,2022
Croatia , Belgium,0–0,2022
Canada , Morocco,1–2,2022
Switzerland , Cameroon,1–0,2022
Brazil , Serbia,2–0,2022
Cameroon , Serbia,3–3,2022
Brazil , Switzerland,1–0,2022
Serbia , Switzerland,2–3,2022
Cameroon , Brazil,1–0,2022
Uruguay , South Korea,0–0,2022
Portugal , Ghana,3–2,2022
South Korea , Ghana,2–3,2022
Portugal , Uruguay,2–0,2022
Ghana , Uruguay,0–2,2022
South Korea , Portugal,2–1,2022
Netherlands , United States,3–1,2022
Argentina , Australia,2–1,2022
France , Poland,3–1,2022
England , Senegal,3–0,2022
Japan , Croatia,1–1 (a.e.t.),2022
Brazil , South Korea,4–1,2022
Morocco , Spain,0–0 (a.e.t.),2022
Portugal , Switzerland,6–1,2022
Croatia , Brazil,1–1 (a.e.t.),2022
Netherlands , Argentina,2–2 (a.e.t.),2022
Morocco , Portugal,1–0,2022
England , France,1–2,2022
Argentina , Croatia,3–0,2022
France , Morocco,2–0,2022
Croatia , Morocco,2–1,2022
Argentina , France,3–3 (a.e.t.),2022
